"station_id","station_name","time"
1,"Chicago (Union Station)","10:40 PM"
4,"Cicero","10:52 PM"
6,"Berwyn","10:57 PM"
7,"Harlem Ave.","10:59 PM"
8,"Riverside","11:01 PM"
10,"Brookfield","11:05 PM"
12,"LaGrange Rd.","11:08 PM"
13,"LaGrange, Stone Av","11:10 PM"
14,"Western Springs","11:13 PM"
16,"Hinsdale","11:17 PM"
18,"Clarendon Hills","11:20 PM"
19,"Westmont","11:23 PM"
20,"Fairview Ave.","11:26 PM"
21,"Downers Grv., Main","11:28 PM"
22,"Belmont","11:32 PM"
23,"Lisle","11:36 PM"
24,"Naperville","11:42 PM"
25,"Route 59","11:47 PM"
26,"Aurora","11:56 PM"
