"station_id","station_name","time"
1,"Chicago (Union Station)","12:45 AM"
4,"Cicero","12:57 AM"
6,"Berwyn","1:02 AM"
7,"Harlem Ave.","1:04 AM"
8,"Riverside","1:07 AM"
10,"Brookfield","1:10 AM"
12,"LaGrange Rd.","1:14 AM"
13,"LaGrange, Stone Av","1:16 AM"
14,"Western Springs","1:19 AM"
16,"Hinsdale","1:22 AM"
18,"Clarendon Hills","1:26 AM"
19,"Westmont","1:29 AM"
20,"Fairview Ave.","1:32 AM"
21,"Downers Grv., Main","1:35 AM"
22,"Belmont","1:38 AM"
23,"Lisle","1:42 AM"
24,"Naperville","1:48 AM"
25,"Route 59","1:53 AM"
26,"Aurora","2:02 AM"
