"station_id","station_name","time"
1,"Chicago (Union Station)","5:36 PM"
2,"Halsted St.","5:42 PM"
3,"Western Ave.","5:46 PM"
4,"Cicero","5:52 PM"
5,"LaVergne","5:56 PM"
6,"Berwyn","5:59 PM"
7,"Harlem Ave.","6:01 PM"
8,"Riverside","6:04 PM"
9,"Hollywood (Zoo Stop)","6:07 PM"
10,"Brookfield","6:10 PM"
12,"LaGrange Rd.","6:13 PM"
14,"Western Springs","6:17 PM"
16,"Hinsdale","6:21 PM"
18,"Clarendon Hills","6:26 PM"
19,"Westmont","6:29 PM"
20,"Fairview Ave.","6:32 PM"
21,"Downers Grv., Main","6:35 PM"
22,"Belmont","6:39 PM"
23,"Lisle","6:43 PM"
24,"Naperville","6:48 PM"
25,"Route 59","6:54 PM"
26,"Aurora","7:02 PM"
