"station_id","station_name","time"
1,"Chicago (Union Station)","11:41 PM"
4,"Cicero","11:53 PM"
6,"Berwyn","11:58 PM"
7,"Harlem Ave.","12:00 PM"
8,"Riverside","12:02 PM"
10,"Brookfield","12:06 PM"
12,"LaGrange Rd.","12:09 PM"
13,"LaGrange, Stone Av","12:11 PM"
14,"Western Springs","12:14 PM"
16,"Hinsdale","12:18 PM"
18,"Clarendon Hills","12:21 PM"
19,"Westmont","12:24 PM"
20,"Fairview Ave.","12:27 PM"
21,"Downers Grv., Main","12:29 PM"
22,"Belmont","12:33 PM"
23,"Lisle","12:37 PM"
24,"Naperville","12:43 PM"
25,"Route 59","12:48 PM"
26,"Aurora","12:57 PM"
