"station_id","station_name","time"
26,"Aurora","11:13 PM"
25,"Route 59","11:22 PM"
24,"Naperville","11:27 PM"
23,"Lisle","11:33 PM"
22,"Belmont","11:37 PM"
21,"Downers Grv., Main St.","11:41 PM"
20,"Fairview Ave.","11:44 PM"
19,"Westmont","11:46 PM"
18,"Clarendon Hills","11:50 PM"
16,"Hinsdale","11:53 PM"
14,"Western Springs","11:57 PM"
12,"LaGrange Rd.","12:01 PM"
10,"Brookfield","12:04 PM"
8,"Riverside","12:07 PM"
6,"Berwyn","12:11 PM"
4,"Cicero","12:16 PM"
1,"Chicago (Union Station)","12:29 PM"
