"station_id","station_name","time"
1,"Chicago (Union Station)","7:56 AM"
3,"Western Ave.","8:05 AM"
4,"Cicero","8:10 AM"
6,"Berwyn","8:15 AM"
7,"Harlem Ave.","8:17 AM"
8,"Riverside","8:20 AM"
10,"Brookfield","8:23 AM"
12,"LaGrange Rd.","8:27 AM"
13,"LaGrange, Stone Av","8:29 AM"
14,"Western Springs","8:32 AM"
16,"Hinsdale","8:36 AM"
18,"Clarendon Hills","8:39 AM"
19,"Westmont","8:42 AM"
20,"Fairview Ave.","8:45 AM"
21,"Downers Grv., Main","8:48 AM"
22,"Belmont","8:52 AM"
23,"Lisle","8:55 AM"
24,"Naperville","9:01 AM"
25,"Route 59","9:07 AM"
26,"Aurora","9:18 AM"
