"station_id","station_name","time"
26,"Aurora","5:32 AM"
21,"Downers Grv., Main St.","5:51 AM"
20,"Fairview Ave.","5:54 AM"
19,"Westmont","5:57 AM"
18,"Clarendon Hills","6:00 AM"
16,"Hinsdale","6:03 AM"
14,"Western Springs","6:06 AM"
12,"LaGrange Rd.","6:10 AM"
11,"Congress Park","6:13 AM"
10,"Brookfield","6:15 AM"
9,"Hollywood (Zoo Stop)","6:17 AM"
8,"Riverside","6:20 AM"
7,"Harlem Ave.","6:23 AM"
6,"Berwyn","6:25 AM"
5,"LaVergne","6:27 AM"
4,"Cicero","6:31 AM"
3,"Western Ave.","6:36 AM"
2,"Halsted St.","6:40 AM"
1,"Chicago (Union Station)","6:47 AM"
