"station_id","station_name","time"
1,"Chicago (Union Station)","8:40 PM"
3,"Western Ave.","8:49 PM"
4,"Cicero","8:54 PM"
5,"LaVergne","8:59 PM"
6,"Berwyn","9:01 PM"
7,"Harlem Ave.","9:03 PM"
8,"Riverside","9:05 PM"
9,"Hollywood (Zoo Stop)","9:08 PM"
10,"Brookfield","9:10 PM"
11,"Congress Park","9:13 PM"
12,"LaGrange Rd.","9:15 PM"
13,"LaGrange, Stone Av","9:17 PM"
14,"Western Springs","9:21 PM"
15,"Highlands","9:24 PM"
16,"Hinsdale","9:26 PM"
17,"West Hinsdale","9:29 PM"
18,"Clarendon Hills","9:31 PM"
19,"Westmont","9:34 PM"
20,"Fairview Ave.","9:37 PM"
21,"Downers Grv., Main","9:40 PM"
22,"Belmont","9:43 PM"
23,"Lisle","9:47 PM"
24,"Naperville","9:54 PM"
25,"Route 59","9:59 PM"
26,"Aurora","10:08 PM"
