"station_id","station_name","time"
26,"Aurora","4:38 AM"
25,"Route 59","4:46 AM"
24,"Naperville","4:51 AM"
23,"Lisle","4:57 AM"
22,"Belmont","5:00 AM"
21,"Downers Grv., Main St.","5:04 AM"
20,"Fairview Ave.","5:06 AM"
19,"Westmont","5:09 AM"
18,"Clarendon Hills","5:12 AM"
17,"West Hinsdale","5:14 AM"
16,"Hinsdale","5:16 AM"
15,"Highlands","5:18 AM"
14,"Western Springs","5:21 AM"
13,"LaGrange, Stone Av","5:24 AM"
12,"LaGrange Rd.","5:26 AM"
11,"Congress Park","5:28 AM"
10,"Brookfield","5:30 AM"
9,"Hollywood (Zoo Stop)","5:32 AM"
8,"Riverside","5:34 AM"
7,"Harlem Ave.","5:37 AM"
6,"Berwyn","5:39 AM"
5,"LaVergne","5:41 AM"
4,"Cicero","5:45 AM"
3,"Western Ave.","5:50 AM"
2,"Halsted St.","5:54 AM"
1,"Chicago (Union Station)","6:00 AM"
