"station_id","station_name","time"
1,"Chicago (Union Station)","12:30 PM"
3,"Western Ave.","12:39 PM"
4,"Cicero","12:44 PM"
6,"Berwyn","12:49 PM"
7,"Harlem Ave.","12:51 PM"
8,"Riverside","12:54 PM"
9,"Hollywood (Zoo Stop)","12:56 PM"
10,"Brookfield","12:59 PM"
12,"LaGrange Rd.","1:02 PM"
13,"LaGrange, Stone Av","1:04 PM"
14,"Western Springs","1:08 PM"
16,"Hinsdale","1:11 PM"
18,"Clarendon Hills","1:15 PM"
19,"Westmont","1:18 PM"
20,"Fairview Ave.","1:21 PM"
21,"Downers Grv., Main","1:23 PM"
22,"Belmont","1:27 PM"
23,"Lisle","1:31 PM"
24,"Naperville","1:37 PM"
25,"Route 59","1:43 PM"
26,"Aurora","1:53 PM"
