"station_id","station_name","time"
26,"Aurora","10:15 PM"
25,"Route 59","10:24 PM"
24,"Naperville","10:29 PM"
23,"Lisle","10:35 PM"
22,"Belmont","10:38 PM"
21,"Downers Grv., Main St.","10:42 PM"
20,"Fairview Ave.","10:45 PM"
19,"Westmont","10:47 PM"
18,"Clarendon Hills","10:51 PM"
16,"Hinsdale","10:54 PM"
14,"Western Springs","10:57 PM"
12,"LaGrange Rd.","11:01 PM"
10,"Brookfield","11:04 PM"
8,"Riverside","11:08 PM"
6,"Berwyn","11:11 PM"
4,"Cicero","11:16 PM"
1,"Chicago (Union Station)","11:29 PM"
