"station_id","station_name","time"
1,"Chicago (Union Station)","9:40 PM"
4,"Cicero","9:52 PM"
6,"Berwyn","9:57 PM"
7,"Harlem Ave.","9:59 PM"
8,"Riverside","10:02 PM"
10,"Brookfield","10:05 PM"
12,"LaGrange Rd.","10:09 PM"
13,"LaGrange, Stone Av","10:11 PM"
14,"Western Springs","10:14 PM"
16,"Hinsdale","10:17 PM"
18,"Clarendon Hills","10:21 PM"
19,"Westmont","10:24 PM"
20,"Fairview Ave.","10:27 PM"
21,"Downers Grv., Main","10:30 PM"
22,"Belmont","10:33 PM"
23,"Lisle","10:37 PM"
24,"Naperville","10:43 PM"
25,"Route 59","10:48 PM"
26,"Aurora","10:57 PM"
