"station_id","station_name","time"
1,"Chicago (Union Station)","8:50 AM"
3,"Western Ave.","8:59 AM"
4,"Cicero","9:04 AM"
6,"Berwyn","9:09 AM"
7,"Harlem Ave.","9:11 AM"
8,"Riverside","9:14 AM"
10,"Brookfield","9:17 AM"
12,"LaGrange Rd.","9:20 AM"
13,"LaGrange, Stone Av","9:22 AM"
14,"Western Springs","9:25 AM"
16,"Hinsdale","9:29 AM"
18,"Clarendon Hills","9:32 AM"
19,"Westmont","9:35 AM"
20,"Fairview Ave.","9:38 AM"
21,"Downers Grv., Main","9:41 AM"
22,"Belmont","9:44 AM"
23,"Lisle","9:48 AM"
24,"Naperville","9:54 AM"
25,"Route 59","9:59 AM"
26,"Aurora","10:08 AM"
