"station_id","station_name","time"
26,"Aurora","5:24 PM"
25,"Route 59","5:34 PM"
24,"Naperville","5:39 PM"
23,"Lisle","5:45 PM"
22,"Belmont","5:49 PM"
21,"Downers Grv., Main St.","5:52 PM"
20,"Fairview Ave.","5:55 PM"
19,"Westmont","5:58 PM"
18,"Clarendon Hills","6:01 PM"
16,"Hinsdale","6:05 PM"
14,"Western Springs","6:08 PM"
13,"LaGrange, Stone Av","6:11 PM"
12,"LaGrange Rd.","6:13 PM"
10,"Brookfield","6:17 PM"
9,"Hollywood (Zoo Stop)","6:19 PM"
8,"Riverside","6:22 PM"
7,"Harlem Ave.","6:25 PM"
6,"Berwyn","6:27 PM"
4,"Cicero","6:32 PM"
3,"Western Ave.","6:37 PM"
2,"Halsted St.","6:41 PM"
1,"Chicago (Union Station)","6:48 PM"
