"station_id","station_name","time"
1,"Chicago (Union Station)","3:19 PM"
2,"Halsted St.","3:25 PM"
3,"Western Ave.","3:29 PM"
4,"Cicero","3:35 PM"
5,"LaVergne","3:39 PM"
6,"Berwyn","3:41 PM"
7,"Harlem Ave.","3:43 PM"
8,"Riverside","3:46 PM"
9,"Hollywood (Zoo Stop)","3:48 PM"
10,"Brookfield","3:51 PM"
11,"Congress Park","3:53 PM"
12,"LaGrange Rd.","3:56 PM"
13,"LaGrange, Stone Av","3:59 PM"
14,"Western Springs","4:02 PM"
15,"Highlands","4:05 PM"
16,"Hinsdale","4:08 PM"
17,"West Hinsdale","4:11 PM"
18,"Clarendon Hills","4:12 PM"
19,"Westmont","4:16 PM"
20,"Fairview Ave.","4:18 PM"
21,"Downers Grv., Main","4:21 PM"
26,"Aurora","4:40 PM"
