"station_id","station_name","time"
1,"Chicago (Union Station)","6:02 PM"
4,"Cicero","6:15 PM"
5,"LaVergne","6:19 PM"
6,"Berwyn","6:21 PM"
7,"Harlem Ave.","6:23 PM"
8,"Riverside","6:27 PM"
10,"Brookfield","6:31 PM"
12,"LaGrange Rd.","6:34 PM"
13,"LaGrange, Stone Av","6:36 PM"
14,"Western Springs","6:40 PM"
15,"Highlands","6:42 PM"
16,"Hinsdale","6:45 PM"
17,"West Hinsdale","6:48 PM"
18,"Clarendon Hills","6:50 PM"
19,"Westmont","6:53 PM"
20,"Fairview Ave.","6:56 PM"
21,"Downers Grv., Main","6:58 PM"
22,"Belmont","7:02 PM"
23,"Lisle","7:05 PM"
24,"Naperville","7:11 PM"
25,"Route 59","7:17 PM"
26,"Aurora","7:26 PM"
