"station_id","station_name","time"
26,"Aurora","3:20 PM"
25,"Route 59","3:29 PM"
24,"Naperville","3:34 PM"
23,"Lisle","3:40 PM"
22,"Belmont","3:44 PM"
21,"Downers Grv., Main St.","3:48 PM"
20,"Fairview Ave.","3:50 PM"
19,"Westmont","3:53 PM"
18,"Clarendon Hills","3:56 PM"
16,"Hinsdale","3:59 PM"
15,"Highlands","4:02 PM"
14,"Western Springs","4:04 PM"
13,"LaGrange, Stone Av","4:08 PM"
12,"LaGrange Rd.","4:10 PM"
10,"Brookfield","4:13 PM"
9,"Hollywood (Zoo Stop)","4:15 PM"
8,"Riverside","4:18 PM"
7,"Harlem Ave.","4:21 PM"
6,"Berwyn","4:23 PM"
4,"Cicero","4:27 PM"
3,"Western Ave.","4:33 PM"
2,"Halsted St.","4:37 PM"
1,"Chicago (Union Station)","4:44 PM"
