"station_id","station_name","time"
26,"Aurora","8:21 PM"
25,"Route 59","8:30 PM"
24,"Naperville","8:35 PM"
23,"Lisle","8:41 PM"
22,"Belmont","8:45 PM"
21,"Downers Grv., Main St.","8:49 PM"
20,"Fairview Ave.","8:51 PM"
19,"Westmont","8:54 PM"
18,"Clarendon Hills","8:57 PM"
16,"Hinsdale","9:00 PM"
14,"Western Springs","9:04 PM"
13,"LaGrange, Stone Av","9:07 PM"
12,"LaGrange Rd.","9:09 PM"
10,"Brookfield","9:12 PM"
8,"Riverside","9:16 PM"
7,"Harlem Ave.","9:18 PM"
6,"Berwyn","9:20 PM"
4,"Cicero","9:25 PM"
3,"Western Ave.","9:31 PM"
1,"Chicago (Union Station)","9:40 PM"
