"station_id","station_name","time"
26,"Aurora","12:30 PM"
25,"Route 59","12:39 PM"
24,"Naperville","12:44 PM"
23,"Lisle","12:50 PM"
22,"Belmont","12:54 PM"
21,"Downers Grv., Main St.","12:58 PM"
20,"Fairview Ave.","1:01 PM"
19,"Westmont","1:03 PM"
18,"Clarendon Hills","1:06 PM"
16,"Hinsdale","1:10 PM"
14,"Western Springs","1:13 PM"
13,"LaGrange, Stone Av","1:17 PM"
12,"LaGrange Rd.","1:18 PM"
10,"Brookfield","1:22 PM"
9,"Hollywood (Zoo Stop)","1:24 PM"
8,"Riverside","1:27 PM"
7,"Harlem Ave.","1:30 PM"
6,"Berwyn","1:31 PM"
4,"Cicero","1:36 PM"
3,"Western Ave.","1:42 PM"
1,"Chicago (Union Station)","1:57 PM"
