"station_id","station_name","time"
1,"Chicago (Union Station)","2:34 PM"
2,"Halsted St.","2:40 PM"
3,"Western Ave.","2:44 PM"
4,"Cicero","2:49 PM"
6,"Berwyn","2:54 PM"
7,"Harlem Ave.","2:56 PM"
8,"Riverside","2:58 PM"
9,"Hollywood (Zoo Stop)","3:01 PM"
10,"Brookfield","3:04 PM"
12,"LaGrange Rd.","3:07 PM"
13,"LaGrange, Stone Av","3:09 PM"
14,"Western Springs","3:12 PM"
16,"Hinsdale","3:16 PM"
18,"Clarendon Hills","3:19 PM"
19,"Westmont","3:22 PM"
20,"Fairview Ave.","3:25 PM"
21,"Downers Grv., Main","3:28 PM"
22,"Belmont","3:31 PM"
23,"Lisle","3:35 PM"
24,"Naperville","3:41 PM"
25,"Route 59","3:46 PM"
26,"Aurora","3:55 PM"
