"station_id","station_name","time"
1,"Chicago (Union Station)","10:30 AM"
3,"Western Ave.","10:39 AM"
4,"Cicero","10:44 AM"
6,"Berwyn","10:49 AM"
7,"Harlem Ave.","10:50 AM"
8,"Riverside","10:53 AM"
9,"Hollywood (Zoo Stop)","10:56 AM"
10,"Brookfield","10:58 AM"
12,"LaGrange Rd.","11:01 AM"
13,"LaGrange, Stone Av","11:03 AM"
14,"Western Springs","11:07 AM"
16,"Hinsdale","11:10 AM"
18,"Clarendon Hills","11:13 AM"
19,"Westmont","11:17 AM"
20,"Fairview Ave.","11:19 AM"
21,"Downers Grv., Main","11:22 AM"
22,"Belmont","11:26 AM"
23,"Lisle","11:29 AM"
24,"Naperville","11:35 AM"
25,"Route 59","11:40 AM"
26,"Aurora","11:53 AM"
