"station_id","station_name","time"
1,"Chicago (Union Station)","7:40 PM"
4,"Cicero","7:52 PM"
6,"Berwyn","7:57 PM"
7,"Harlem Ave.","7:59 PM"
8,"Riverside","8:02 PM"
10,"Brookfield","8:05 PM"
12,"LaGrange Rd.","8:09 PM"
13,"LaGrange, Stone Av","8:11 PM"
14,"Western Springs","8:14 PM"
16,"Hinsdale","8:18 PM"
18,"Clarendon Hills","8:21 PM"
19,"Westmont","8:25 PM"
20,"Fairview Ave.","8:27 PM"
21,"Downers Grv., Main","8:30 PM"
22,"Belmont","8:34 PM"
23,"Lisle","8:38 PM"
24,"Naperville","8:44 PM"
25,"Route 59","8:50 PM"
26,"Aurora","8:59 PM"
