"station_id","station_name","time"
1,"Chicago (Union Station)","6:31 PM"
4,"Cicero","6:43 PM"
6,"Berwyn","6:48 PM"
7,"Harlem Ave.","6:50 PM"
8,"Riverside","6:53 PM"
10,"Brookfield","6:56 PM"
12,"LaGrange Rd.","7:00 PM"
13,"LaGrange, Stone Av","7:02 PM"
14,"Western Springs","7:06 PM"
16,"Hinsdale","7:10 PM"
18,"Clarendon Hills","7:14 PM"
19,"Westmont","7:17 PM"
20,"Fairview Ave.","7:20 PM"
21,"Downers Grv., Main","7:23 PM"
23,"Lisle","7:28 PM"
24,"Naperville","7:34 PM"
25,"Route 59","7:39 PM"
26,"Aurora","7:48 PM"
