"station_id","station_name","time"
26,"Aurora","7:12 AM"
25,"Route 59","7:21 AM"
24,"Naperville","7:26 AM"
23,"Lisle","7:32 AM"
22,"Belmont","7:35 AM"
21,"Downers Grv., Main St.","7:39 AM"
20,"Fairview Ave.","7:42 AM"
19,"Westmont","7:47 AM"
18,"Clarendon Hills","7:54 AM"
16,"Hinsdale","8:00 AM"
15,"Highlands","8:02 AM"
14,"Western Springs","8:06 AM"
13,"LaGrange, Stone Av","8:10 AM"
12,"LaGrange Rd.","8:13 AM"
3,"Western Ave.","8:25 AM"
2,"Halsted St.","8:29 AM"
1,"Chicago (Union Station)","8:35 AM"
