"station_id","station_name","time"
26,"Aurora","8:30 AM"
25,"Route 59","8:40 AM"
24,"Naperville","8:45 AM"
23,"Lisle","8:51 AM"
22,"Belmont","8:54 AM"
21,"Downers Grv., Main St.","8:58 AM"
20,"Fairview Ave.","9:01 AM"
19,"Westmont","9:04 AM"
18,"Clarendon Hills","9:07 AM"
17,"West Hinsdale","9:09 AM"
16,"Hinsdale","9:12 AM"
14,"Western Springs","9:15 AM"
13,"LaGrange, Stone Av","9:18 AM"
12,"LaGrange Rd.","9:20 AM"
10,"Brookfield","9:24 AM"
9,"Hollywood (Zoo Stop)","9:26 AM"
8,"Riverside","9:28 AM"
7,"Harlem Ave.","9:31 AM"
6,"Berwyn","9:33 AM"
4,"Cicero","9:38 AM"
3,"Western Ave.","9:43 AM"
2,"Halsted St.","9:47 AM"
1,"Chicago (Union Station)","9:57 AM"
