"station_id","station_name","time"
26,"Aurora","5:20 PM"
25,"Route 59","5:29 PM"
24,"Naperville","5:34 PM"
23,"Lisle","5:39 PM"
22,"Belmont","5:44 PM"
21,"Downers Grv., Main St.","5:48 PM"
20,"Fairview Ave.","5:50 PM"
19,"Westmont","5:52 PM"
18,"Clarendon Hills","5:55 PM"
16,"Hinsdale","5:58 PM"
14,"Western Springs","6:01 PM"
13,"LaGrange, Stone Av","6:04 PM"
12,"LaGrange Rd.","6:06 PM"
10,"Brookfield","6:09 PM"
9,"Hollywood (Zoo Stop)","6:11 PM"
8,"Riverside","6:13 PM"
7,"Harlem Ave.","6:16 PM"
6,"Berwyn","6:18 PM"
4,"Cicero","6:23 PM"
3,"Western Ave.","6:27 PM"
2,"Halsted St.","6:32 PM"
1,"Chicago (Union Station)","6:42 PM"
