"station_id","station_name","time"
26,"Aurora","8:20 AM"
25,"Route 59","8:29 AM"
24,"Naperville","8:35 AM"
23,"Lisle","8:40 AM"
22,"Belmont","8:44 AM"
21,"Downers Grv., Main St.","8:47 AM"
20,"Fairview Ave.","8:49 AM"
19,"Westmont","8:51 AM"
18,"Clarendon Hills","8:54 AM"
17,"West Hinsdale","8:56 AM"
16,"Hinsdale","8:59 AM"
14,"Western Springs","9:03 AM"
13,"LaGrange, Stone Av","9:06 AM"
12,"LaGrange Rd.","9:08 AM"
10,"Brookfield","9:10 AM"
9,"Hollywood (Zoo Stop)","9:13 AM"
8,"Riverside","9:15 AM"
7,"Harlem Ave.","9:17 AM"
6,"Berwyn","9:20 AM"
4,"Cicero","9:24 AM"
3,"Western Ave.","9:29 AM"
2,"Halsted St.","9:33 AM"
1,"Chicago (Union Station)","9:47 AM"
