"station_id","station_name","time"
26,"Aurora","11:20 PM"
25,"Route 59","11:28 PM"
24,"Naperville","11:33 PM"
23,"Lisle","11:38 PM"
22,"Belmont","11:42 PM"
21,"Downers Grv., Main St.","11:45 PM"
20,"Fairview Ave.","11:47 PM"
19,"Westmont","11:49 PM"
18,"Clarendon Hills","11:51 PM"
16,"Hinsdale","11:54 PM"
14,"Western Springs","11:57 PM"
12,"LaGrange Rd.","12:01 PM"
10,"Brookfield","12:03 PM"
8,"Riverside","12:05 PM"
6,"Berwyn","12:08 PM"
4,"Cicero","12:12 PM"
1,"Chicago (Union Station)","12:29 PM"
