"station_id","station_name","time"
1,"Chicago (Union Station)","7:45 AM"
3,"Western Ave.","7:54 AM"
4,"Cicero","7:59 AM"
6,"Berwyn","8:03 AM"
7,"Harlem Ave.","8:05 AM"
8,"Riverside","8:08 AM"
10,"Brookfield","8:11 AM"
12,"LaGrange Rd.","8:14 AM"
13,"LaGrange, Stone Av","8:16 AM"
14,"Western Springs","8:19 AM"
16,"Hinsdale","8:22 AM"
18,"Clarendon Hills","8:25 AM"
19,"Westmont","8:28 AM"
20,"Fairview Ave.","8:31 AM"
21,"Downers Grv., Main","8:33 AM"
22,"Belmont","8:36 AM"
23,"Lisle","8:40 AM"
24,"Naperville","8:45 AM"
25,"Route 59","8:49 AM"
26,"Aurora","9:05 AM"
