"station_id","station_name","time"
1,"Chicago (Union Station)","4:48 PM"
3,"Western Ave.","4:57 PM"
4,"Cicero","5:02 PM"
5,"LaVergne","5:05 PM"
6,"Berwyn","5:07 PM"
7,"Harlem Ave.","5:09 PM"
8,"Riverside","5:13 PM"
9,"Hollywood (Zoo Stop)","5:15 PM"
10,"Brookfield","5:17 PM"
11,"Congress Park","5:19 PM"
12,"LaGrange Rd.","5:21 PM"
14,"Western Springs","5:24 PM"
16,"Hinsdale","5:29 PM"
18,"Clarendon Hills","5:34 PM"
19,"Westmont","5:37 PM"
21,"Downers Grv., Main","5:41 PM"
23,"Lisle","5:46 PM"
24,"Naperville","5:51 PM"
25,"Route 59","5:55 PM"
26,"Aurora","6:08 PM"
