"station_id","station_name","time"
1,"Chicago (Union Station)","6:22 PM"
4,"Cicero","6:33 PM"
6,"Berwyn","6:38 PM"
7,"Harlem Ave.","6:40 PM"
8,"Riverside","6:42 PM"
10,"Brookfield","6:46 PM"
12,"LaGrange Rd.","6:49 PM"
13,"LaGrange, Stone Av","6:51 PM"
14,"Western Springs","6:54 PM"
16,"Hinsdale","6:57 PM"
18,"Clarendon Hills","7:01 PM"
19,"Westmont","7:04 PM"
20,"Fairview Ave.","7:07 PM"
21,"Downers Grv., Main","7:09 PM"
23,"Lisle","7:14 PM"
24,"Naperville","7:18 PM"
25,"Route 59","7:23 PM"
26,"Aurora","7:34 PM"
