"station_id","station_name","time"
1,"Chicago (Union Station)","10:30 AM"
3,"Western Ave.","10:39 AM"
4,"Cicero","10:44 AM"
6,"Berwyn","10:48 AM"
7,"Harlem Ave.","10:50 AM"
8,"Riverside","10:52 AM"
9,"Hollywood (Zoo Stop)","10:55 AM"
10,"Brookfield","10:57 AM"
12,"LaGrange Rd.","11:00 AM"
13,"LaGrange, Stone Av","11:02 AM"
14,"Western Springs","11:05 AM"
16,"Hinsdale","11:08 AM"
18,"Clarendon Hills","11:11 AM"
19,"Westmont","11:13 AM"
20,"Fairview Ave.","11:16 AM"
21,"Downers Grv., Main","11:18 AM"
22,"Belmont","11:22 AM"
23,"Lisle","11:25 AM"
24,"Naperville","11:31 AM"
25,"Route 59","11:34 AM"
26,"Aurora","11:53 AM"
