"station_id","station_name","time"
1,"Chicago (Union Station)","8:50 AM"
3,"Western Ave.","9:00 AM"
4,"Cicero","9:04 AM"
6,"Berwyn","9:08 AM"
7,"Harlem Ave.","9:11 AM"
8,"Riverside","9:13 AM"
10,"Brookfield","9:16 AM"
12,"LaGrange Rd.","9:19 AM"
13,"LaGrange, Stone Av","9:21 AM"
14,"Western Springs","9:24 AM"
16,"Hinsdale","9:27 AM"
18,"Clarendon Hills","9:30 AM"
19,"Westmont","9:33 AM"
20,"Fairview Ave.","9:36 AM"
21,"Downers Grv., Main","9:38 AM"
22,"Belmont","9:41 AM"
23,"Lisle","9:44 AM"
24,"Naperville","9:49 AM"
25,"Route 59","9:53 AM"
26,"Aurora","10:08 AM"
