"station_id","station_name","time"
1,"Chicago (Union Station)","2:34 PM"
2,"Halsted St.","2:40 PM"
3,"Western Ave.","2:44 PM"
4,"Cicero","2:49 PM"
6,"Berwyn","2:53 PM"
7,"Harlem Ave.","2:55 PM"
8,"Riverside","2:59 PM"
9,"Hollywood (Zoo Stop)","3:00 PM"
10,"Brookfield","3:02 PM"
12,"LaGrange Rd.","3:06 PM"
13,"LaGrange, Stone Av","3:08 PM"
14,"Western Springs","3:10 PM"
16,"Hinsdale","3:14 PM"
18,"Clarendon Hills","3:17 PM"
19,"Westmont","3:20 PM"
20,"Fairview Ave.","3:22 PM"
21,"Downers Grv., Main","3:25 PM"
22,"Belmont","3:28 PM"
23,"Lisle","3:31 PM"
24,"Naperville","3:37 PM"
25,"Route 59","3:41 PM"
26,"Aurora","3:58 PM"
