"station_id","station_name","time"
26,"Aurora","10:20 AM"
25,"Route 59","10:29 AM"
24,"Naperville","10:35 AM"
23,"Lisle","10:40 AM"
22,"Belmont","10:45 AM"
21,"Downers Grv., Main St.","10:48 AM"
20,"Fairview Ave.","10:50 AM"
19,"Westmont","10:52 AM"
18,"Clarendon Hills","10:55 AM"
16,"Hinsdale","10:58 AM"
14,"Western Springs","11:01 AM"
13,"LaGrange, Stone Av","11:03 AM"
12,"LaGrange Rd.","11:05 AM"
10,"Brookfield","11:08 AM"
9,"Hollywood (Zoo Stop)","11:10 AM"
8,"Riverside","11:11 AM"
7,"Harlem Ave.","11:12 AM"
6,"Berwyn","11:14 AM"
4,"Cicero","11:18 AM"
1,"Chicago (Union Station)","11:47 AM"
