"station_id","station_name","time"
1,"Chicago (Union Station)","1:30 PM"
2,"Halsted St.","1:36 PM"
3,"Western Ave.","1:40 PM"
4,"Cicero","1:45 PM"
5,"LaVergne","1:48 PM"
6,"Berwyn","1:50 PM"
7,"Harlem Ave.","1:52 PM"
8,"Riverside","1:55 PM"
9,"Hollywood (Zoo Stop)","1:57 PM"
10,"Brookfield","1:59 PM"
11,"Congress Park","2:01 PM"
12,"LaGrange Rd.","2:03 PM"
13,"LaGrange, Stone Av","2:05 PM"
14,"Western Springs","2:08 PM"
15,"Highlands","2:10 PM"
16,"Hinsdale","2:13 PM"
17,"West Hinsdale","2:15 PM"
18,"Clarendon Hills","2:17 PM"
19,"Westmont","2:20 PM"
20,"Fairview Ave.","2:22 PM"
21,"Downers Grv., Main","2:25 PM"
22,"Belmont","2:29 PM"
23,"Lisle","2:32 PM"
24,"Naperville","2:38 PM"
25,"Route 59","2:41 PM"
26,"Aurora","2:59 PM"
