"station_id","station_name","time"
1,"Chicago (Union Station)","5:55 AM"
2,"Halsted St.","6:00 AM"
3,"Western Ave.","6:04 AM"
4,"Cicero","6:08 AM"
6,"Berwyn","6:13 AM"
7,"Harlem Ave.","6:15 AM"
8,"Riverside","6:17 AM"
10,"Brookfield","6:20 AM"
12,"LaGrange Rd.","6:23 AM"
14,"Western Springs","6:26 AM"
15,"Highlands","6:28 AM"
16,"Hinsdale","6:30 AM"
18,"Clarendon Hills","6:34 AM"
19,"Westmont","6:36 AM"
20,"Fairview Ave.","6:39 AM"
21,"Downers Grv., Main","6:41 AM"
22,"Belmont","6:44 AM"
23,"Lisle","6:48 AM"
24,"Naperville","6:55 AM"
