"station_id","station_name","time"
26,"Aurora","6:22 AM"
25,"Route 59","6:31 AM"
24,"Naperville","6:36 AM"
23,"Lisle","6:41 AM"
21,"Downers Grv., Main St.","6:46 AM"
20,"Fairview Ave.","6:48 AM"
19,"Westmont","6:51 AM"
18,"Clarendon Hills","6:54 AM"
16,"Hinsdale","6:57 AM"
14,"Western Springs","6:59 AM"
12,"LaGrange Rd.","7:03 AM"
10,"Brookfield","7:07 AM"
9,"Hollywood (Zoo Stop)","7:09 AM"
8,"Riverside","7:11 AM"
7,"Harlem Ave.","7:15 AM"
6,"Berwyn","7:17 AM"
5,"LaVergne","7:20 AM"
4,"Cicero","7:24 AM"
3,"Western Ave.","7:29 AM"
2,"Halsted St.","7:33 AM"
1,"Chicago (Union Station)","7:44 AM"
