"station_id","station_name","time"
26,"Aurora","8:20 PM"
25,"Route 59","8:29 PM"
24,"Naperville","8:34 PM"
23,"Lisle","8:40 PM"
22,"Belmont","8:44 PM"
21,"Downers Grv., Main St.","8:47 PM"
20,"Fairview Ave.","8:50 PM"
19,"Westmont","8:52 PM"
18,"Clarendon Hills","8:55 PM"
16,"Hinsdale","8:58 PM"
14,"Western Springs","9:01 PM"
13,"LaGrange, Stone Av","9:04 PM"
12,"LaGrange Rd.","9:06 PM"
10,"Brookfield","9:09 PM"
8,"Riverside","9:12 PM"
7,"Harlem Ave.","9:14 PM"
6,"Berwyn","9:16 PM"
4,"Cicero","9:21 PM"
3,"Western Ave.","9:25 PM"
1,"Chicago (Union Station)","9:40 PM"
