"station_id","station_name","time"
1,"Chicago (Union Station)","3:21 PM"
2,"Halsted St.","3:27 PM"
3,"Western Ave.","3:31 PM"
4,"Cicero","3:36 PM"
5,"LaVergne","3:40 PM"
6,"Berwyn","3:42 PM"
7,"Harlem Ave.","3:44 PM"
8,"Riverside","3:47 PM"
9,"Hollywood (Zoo Stop)","3:49 PM"
10,"Brookfield","3:51 PM"
11,"Congress Park","3:53 PM"
12,"LaGrange Rd.","3:55 PM"
13,"LaGrange, Stone Av","3:57 PM"
14,"Western Springs","4:00 PM"
15,"Highlands","4:02 PM"
16,"Hinsdale","4:04 PM"
17,"West Hinsdale","4:07 PM"
18,"Clarendon Hills","4:09 PM"
19,"Westmont","4:11 PM"
20,"Fairview Ave.","4:14 PM"
21,"Downers Grv., Main","4:16 PM"
23,"Lisle","4:21 PM"
26,"Aurora","4:41 PM"
