"station_id","station_name","time"
1,"Chicago (Union Station)","5:36 PM"
2,"Halsted St.","5:40 PM"
3,"Western Ave.","5:44 PM"
4,"Cicero","5:50 PM"
5,"LaVergne","5:53 PM"
6,"Berwyn","5:55 PM"
7,"Harlem Ave.","5:58 PM"
8,"Riverside","6:01 PM"
9,"Hollywood (Zoo Stop)","6:04 PM"
10,"Brookfield","6:08 PM"
12,"LaGrange Rd.","6:11 PM"
14,"Western Springs","6:15 PM"
16,"Hinsdale","6:19 PM"
18,"Clarendon Hills","6:22 PM"
19,"Westmont","6:25 PM"
20,"Fairview Ave.","6:28 PM"
21,"Downers Grv., Main","6:31 PM"
22,"Belmont","6:35 PM"
23,"Lisle","6:38 PM"
24,"Naperville","6:44 PM"
25,"Route 59","6:49 PM"
26,"Aurora","7:01 PM"
