"station_id","station_name","time"
1,"Chicago (Union Station)","12:40 AM"
4,"Cicero","12:51 AM"
6,"Berwyn","12:55 AM"
7,"Harlem Ave.","12:57 AM"
8,"Riverside","12:59 AM"
10,"Brookfield","1:02 AM"
12,"LaGrange Rd.","1:06 AM"
13,"LaGrange, Stone Av","1:08 AM"
14,"Western Springs","1:11 AM"
16,"Hinsdale","1:14 AM"
18,"Clarendon Hills","1:17 AM"
19,"Westmont","1:20 AM"
20,"Fairview Ave.","1:23 AM"
21,"Downers Grv., Main","1:25 AM"
22,"Belmont","1:28 AM"
23,"Lisle","1:31 AM"
24,"Naperville","1:37 AM"
25,"Route 59","1:42 AM"
26,"Aurora","1:56 AM"
