"station_id","station_name","time"
26,"Aurora","12:20 PM"
25,"Route 59","12:29 PM"
24,"Naperville","12:35 PM"
23,"Lisle","12:40 PM"
22,"Belmont","12:45 PM"
21,"Downers Grv., Main St.","12:48 PM"
20,"Fairview Ave.","12:50 PM"
19,"Westmont","12:52 PM"
18,"Clarendon Hills","12:55 PM"
16,"Hinsdale","12:58 PM"
14,"Western Springs","1:01 PM"
13,"LaGrange, Stone Av","1:04 PM"
12,"LaGrange Rd.","1:06 PM"
10,"Brookfield","1:09 PM"
9,"Hollywood (Zoo Stop)","1:11 PM"
8,"Riverside","1:13 PM"
7,"Harlem Ave.","1:16 PM"
6,"Berwyn","1:18 PM"
4,"Cicero","1:23 PM"
3,"Western Ave.","1:26 PM"
1,"Chicago (Union Station)","1:47 PM"
