"station_id","station_name","time"
26,"Aurora","3:20 PM"
25,"Route 59","3:30 PM"
24,"Naperville","3:35 PM"
23,"Lisle","3:40 PM"
22,"Belmont","3:44 PM"
21,"Downers Grv., Main St.","3:47 PM"
20,"Fairview Ave.","3:49 PM"
19,"Westmont","3:52 PM"
18,"Clarendon Hills","3:54 PM"
16,"Hinsdale","3:58 PM"
15,"Highlands","4:00 PM"
14,"Western Springs","4:02 PM"
13,"LaGrange, Stone Av","4:05 PM"
12,"LaGrange Rd.","4:07 PM"
10,"Brookfield","4:10 PM"
9,"Hollywood (Zoo Stop)","4:12 PM"
8,"Riverside","4:14 PM"
7,"Harlem Ave.","4:16 PM"
6,"Berwyn","4:18 PM"
4,"Cicero","4:23 PM"
3,"Western Ave.","4:28 PM"
2,"Halsted St.","4:32 PM"
1,"Chicago (Union Station)","4:44 PM"
