"station_id","station_name","time"
26,"Aurora","5:40 AM"
25,"Route 59","5:49 AM"
24,"Naperville","5:54 AM"
23,"Lisle","6:00 AM"
22,"Belmont","6:03 AM"
21,"Downers Grv., Main St.","6:06 AM"
20,"Fairview Ave.","6:09 AM"
19,"Westmont","6:11 AM"
18,"Clarendon Hills","6:14 AM"
16,"Hinsdale","6:17 AM"
14,"Western Springs","6:20 AM"
12,"LaGrange Rd.","6:23 AM"
11,"Congress Park","6:25 AM"
10,"Brookfield","6:28 AM"
9,"Hollywood (Zoo Stop)","6:30 AM"
8,"Riverside","6:32 AM"
7,"Harlem Ave.","6:34 AM"
6,"Berwyn","6:36 AM"
5,"LaVergne","6:38 AM"
4,"Cicero","6:42 AM"
3,"Western Ave.","6:47 AM"
2,"Halsted St.","6:51 AM"
1,"Chicago (Union Station)","7:00 AM"
