"station_id","station_name","time"
26,"Aurora","10:20 PM"
25,"Route 59","10:28 PM"
24,"Naperville","10:33 PM"
23,"Lisle","10:39 PM"
22,"Belmont","10:43 PM"
21,"Downers Grv., Main St.","10:46 PM"
20,"Fairview Ave.","10:48 PM"
19,"Westmont","10:50 PM"
18,"Clarendon Hills","10:52 PM"
16,"Hinsdale","10:55 PM"
14,"Western Springs","10:59 PM"
12,"LaGrange Rd.","11:02 PM"
10,"Brookfield","11:05 PM"
8,"Riverside","11:07 PM"
6,"Berwyn","11:10 PM"
4,"Cicero","11:15 PM"
1,"Chicago (Union Station)","11:29 PM"
